"id","department","code","customer","main_address","del_address","date","credit_limit","contact","line_business","years_business","capital_invested","registration","type_organization","terms","mode_payment","credit_request","officer","officer_address","depository","account","contact_person","bank_contact","tag_","encoded","sales_officer","pricelist","area","terms_details","custom1","manual_code","approval","main_code","shared_to","company","tin","card_no","category","birthdate","gender","fax","email","officer_contact_no","contact_person_contact_no","acctng_officer","acctng_officer_contact_no","invoice","dr","discount","receipt_qty","trucking_name","trucking_address","trucking_contact_no","trucking_remarks","trucking_name2","trucking_address2","trucking_contact_no2","trucking_remarks2","trucking_name3","trucking_address3","trucking_contact_no3","trucking_remarks3","option1","option2","option3","other_address1","commission_rate1","commission_rate2","contact_person_email","print_no_price","contact_tel_no","acctng_contact_person","acctng_contact_number","acctng_email","owner_contact_person","owner_contact_number","owner_email","second_address","group_code","type_code","customer_type","agent_commission","remarks","inactive","order_days"
"181",,"180","Citistores Inc. - Uno Buhay na Tubig",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"182",,"181","CITISTORES INC. - UNO CABAGAN ISABELA",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:15:53","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"183",,"182","CITISTORES INC. - UNO CABUYAO",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:25:05","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"184",,"183","CITISTORES INC. - UNO CADIZ",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:26:08","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"185",,"184","CITISTORES INC. - UNO CALAMBA",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:28:21","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"186",,"185","CITISTORES INC. - UNO DAGUPAN",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:29:18","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"187",,"186","CITISTORES INC. - UNO DANAO",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:31:46","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"188",,"187","Citistores Inc. - Uno Dasmarinas",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"189",,"188","CITISTORES INC. - UNO DAU",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:32:55","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"190",,"189","CITISTORES INC. - UNO FAIRVIEW",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:37:15","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"191",,"190","Citistores Inc. - Uno GMA",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"192",,"191","CITISTORES INC. - UNO GOLDEN FIELD",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:38:34","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"193",,"192","CITISTORES INC. - UNO IPONAN CDO",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:39:58","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"194",,"193","CITISTORES INC. - UNO MAKILING",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:41:23","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"195",,"194","Citistores Inc. - Uno Mercedes",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"196",,"195","CITISTORES INC. - UNO MONTALBAN",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:42:14","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"197",,"196","Citistores Inc. - Uno Morong",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"198",,"197","CITISTORES INC. - UNO NOVALICHES",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:43:15","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"199",,"198","CITISTORES INC. - UNO PULILAN",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:44:11","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"200",,"199","Citistores Inc. - Uno Roxas",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"201",,"200","CITISTORES INC. - UNO ROXAS CAPIZ",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:45:30","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"202",,"201","CITISTORES INC. - UNO ROXAS ISABELA",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:46:34","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"203",,"202","Citistores Inc. - Uno San Pablo",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"204",,"203","CITISTORES INC. - UNO SAN PEDRO",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:48:33","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"205",,"204","CITISTORES INC. - UNO SANTIAGO ISABELA",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 08 November 2022 02:49:32","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"206",,"205","CITISTORES INC. - UNO ZABARTE",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:19:19","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"207",,"206","Citistores Inc.- Uno Ardi3 Mall",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"208",,"207","Citistores Inc.- Uno Cainta",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"209",,"208","Citistores Inc.- Uno Daet",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"210",,"209","Citistores Inc.- Uno FTI",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"211",,"210","CITISTORES INC.- UNO MALABON",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:20:46","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"212",,"211","CITISTORES INC.- UNO ROSARIO",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:21:28","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"213",,"212","Citistores Inc.- Uno Roxas2",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"214",,"213","Citistores Inc.- Uno Sapang Palay",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"215",,"214","Citistores Inc.- Uno Silang",,,"0000-00-00",,,,,,,,,,,,,,,,,,,"ANTHONY",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"216",,"215","CITISTORES INC.- UNO TAGAYTAY",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:25:05","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"217",,"216","CITISTORES INC.- UNO TAGUIG",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:25:51","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"218",,"217","CITISTORES INC.- UNO TANAY",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:26:34","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY 
",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"219",,"218","CITISTORES INC.- UNO TRECE MARTIRES",,,"0000-00-00",,,,,,,,,,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:27:47","ANTHONY",,,,,,,,,,,,,"0000-00-00",,,,,,,,"YES",,"LESS 5%","3 SETS W/P.O","WAREHOUSE DELIVER","1408 EAST BANK ROAD, BRGY STA. LUCIA PASIG CITY ",,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"220",,"219","CITY CENTRAL","DAGUPAN CITY",,"0000-00-00",,"075-529-5114",,,,,,,,,,,,,"MS.HELEN",,,"FLORES, SHIELA MARIE  - 10 November 2022 02:28:26","DELFIN",,,,,,,,,,,,,"0000-00-00",,,,,,,,,"YES","LESS 15%","3 SETS W/ P.O","NAC LOGISTICS ",,"244-76-30/241-31-44- MS. JOAN-MARJOY","CALL BEFORE DELIVER",,,,,,,,,,,,,"3%",,,,,,,,,,,,,,,"5",,,"30"
"221",,"220","City Star Trading Corp. (Juanita Enterprises)","Mabini St., Molave,",,"0000-00-00",,"0908-895-6093/0920-204-9901",,,,,,,,,,,,,"Vic",,,,"NARESH",,,,,,,,,,"408-654-722-000",,,"0000-00-00",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"222",,"221","CITY SUPER ALABANG INC.","LANDMARK ALABANG BUILD. CIVIC DRIVE , FILINVEST CITY ALABANG MUNTINLUPA CITY ",,"0000-00-00",,"0933-855-9089/0927-128-6697 ( VIBER ) DIRECT LINE ","CITY SUPER ALABANG INC.",,,,,"60",,,,,,,"BELLE PERALTA (MERCHANDISER-LINEN DEPT.) / SECT. MONICA LASAC , NOEMI OLIVEROS LOC.2013",,,"SALCEDO JR., MANUEL  - 31 March 2022 08:59:54","ANTHONY",,,"Net 60",,,,,,,"009-149-884-00000",,,"0000-00-00",,,,,"DIRECT LINE : 845-3100",,,"YES",,,"3 SETS W/ P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"223",,"222","CITY SUPER INCORPORATED","EDSA COR. MINDANAO AVE. EXT.",,"0000-00-00",,"DIRECT LINE :922-18-67","CITY SUPER INCORPORATED",,,,,"60",,,,,,,"JOSHUA CHENG (MERCHANDISER-FURNITURE  HARDWARE) SHERYL RICAMARA(ASSISTANT)",,,"SALCEDO JR., MANUEL  - 31 March 2022 08:58:11","ANTHONY",,,"Net 60",,,,,,,"205-412-358-00000",,,"0000-00-00",,,,,"DIRECT LINE :922-18-67",,,"YES",,,"3 SETS W/ P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"224",,"223","CITY SUPER NUVALI INC.","BLDG. A SOLENAD 3 AYALA MALLS SOLENAD NUVALI, STA. ROSA, LAGUNA",,"0000-00-00",,"8425-1794-ACCOUNTING","CITY SUPER NUVALI INC.",,,,,"60",,,,,,,,,,"ABUEVA, DOROTHY KATHLEEN JORUGUAS - 21 April 2022 ","ANTHONY",,,"Net 60",,,,,,,"010-179-657-00000",,,"0000-00-00",,,,,,,,"YES",,,"3 SETS W/ P.O",,,,,,,,,,,,,,,,,"1.50%",,,,,,,,,,,,,,,"5",,,"30"
"225",,"224","CITYMART","COR.URDANETA  I.MAGNI ST.,",,"0000-00-00",,"992-2139/992-1619",,,,,,,,,,,,,,,,"ROGEL, CHARISSA ANN TOLING - 11 June 2022 01:35:57","DELFIN",,,,,,,,,,,,,"0000-00-00",,,"zcitymart@yahoo.com",,,,,,"YES","LESS 5%","4 SETS W/P.O","DJ CARGO SERVICE",,,"MONDAY TO THURSDAY ONLY",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"226",,"225","CITYSQUARE TRADE GROUP - ANTIQUE","ANTIQUE CITY",,"0000-00-00",,,,,,,,"120",,,,,,,"0923-614-2370 ALEX",,,"FLORES, SHIELA MARIE  - 10 November 2022 02:33:09","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,"nttc_king@yahoo.com/citysquare@asia.com",,"0923-614-2370 alex",,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C","925-1935 MS.JOCELYN","740-18-32, 740-55-72",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"227",,"226","CITYSQUARE TRADE GROUP - DAET","DAET CITY",,"0000-00-00",,,,,,,,"60",,,,,,,,,,"BARRIZO, ROCEL  - 19 October 2022 09:15:37","JEORGE","PP",,"60 DAYS",,,,,,,,,,"0000-00-00",,,"citysquare@asia.com",,"74018-32/740-55-72/925-1935 ",,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"228",,"227","CITYSQUARE TRADE GROUP - ILOILO","ILOILO CITY",,"0000-00-00",,,,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:33:51","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,"citysquare@asia.com",,,,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C",,"CALL BEFORE DELIVER",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"229",,"228","CITYSQUARE TRADE GROUP - KALIBO","AKLAN",,"0000-00-00",,,,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:34:27","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,"citysquare@asia.com",,"74018-32/740-55-72/925-1935",,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"230",,"229","CITYSQUARE TRADE GROUP - ROXAS","ROXAS CITY",,"0000-00-00",,,,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:35:45","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,"citysquare@asia.com",,"74018-32/740-55-72/925-1935",,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"231",,"230","CITYSQUARE TRADE GROUP-ABROSS",,,"0000-00-00",,,,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 10 November 2022 02:37:11","JEORGE","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,"74018-32/740-55-72/925-1935 / 09338289654",,,,"YES","LESS 10%","3 SETS W/ P.O",,"45 KAMUNING ROAD Q. C",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"232",,"231","CKAT TRADING","SAN NICOLAS COLLEGE GYM.
MAGALLANES ST., SURIGAO CITY",,"0000-00-00",,"(086) 826-3819/086-826-0284",,,,,,"120",,,,,,,,,,"FLORES, SHIELA MARIE  - 07 November 2022 09:37:02","NARESH","PP",,"120 DAYS",,,,,,,,,,"0000-00-00",,,,,,,,,,,,"JADE CARGO","NEPA ST. TONDO, MANILA",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"233",,"232","Clothers Asia Corporation","325 Quezon Ave. cor. Roosevelt",,"0000-00-00",,,,,,,,,,,,,,,"amee.calayag@fishermall.com.ph",,,,"ANTHONY",,,"Net 90",,,,,,,"008-464-298-000",,,"0000-00-00",,,"ashie.navarro@fishermall.com.ph",,"MS.AMEE- 0955-667-1778",,,"YES",,"LESS 5%","3 SETS W/ P.O","DIRECT TO STORE",,"294-15-57- ms. April","DELIVERY SCHED. TUES AND THUR ONLY  8AM TO 2PM 1. PO/ 1SI ",,,,,,,,,,,,,"1.50%",,"amee.calayag@fishermall.com.ph",,,,,,,,,,,,,"5",,,"30"
"234",,"233","Clothers Asia Corporation - Malabon","Lot 2-10 Blk 47 PH 3-E2 Fishermall",,"0000-00-00",,,,,,,,,,,,,,,"amee.calayag@fishermall.com.ph",,,,"ANTHONY",,,"Net 90",,,,,,,"008-464-298-001",,,"0000-00-00",,,,,"MS.AMEE- 0955-667-1778",,,"YES",,"LESS 5%","3 SETS W/ P.O","DIRECT TO STORE",,,"DELIVERY SCHED. TUES AND THUR ONLY  8AM TO 2PM 1. PO/ 1SI ",,,,,,,,,,,,,"1.50%",,"amee.calayag@fishermall.com.ph",,,,,,,,,,,,,"5",,,"30"
"235",,"234","Co Enteprises","Isulan Sultan Kudarat",,"0000-00-00",,,,,,,,,,,,,,,,,,,"NARESH",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,,"FIESTA CARGO","511 H. LOPEZ BALOT TONDO",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"236",,"235","ComCom Food Services","Palanca St., Quiapo",,"0000-00-00",,"0917-534-6265/0922-877-1861",,,,,,,,,,,,,"Yaxing/Lou Grant",,,,"ISHWAR",,,"Net 30",,,,,,,"009-745-307-000",,,"0000-00-00",,,,,"733-6369",,,,"YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"237",,"236","Consuelo Supermart","Bacolod City",,"0000-00-00",,,,,,,,,,,,,,,,,,,"LEO",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,"433-3378/708-5788",,,,"YES","LESS 10%","3 SETS W/ P.O","EHG CARGO","H. LOPEZ BALOT TONDO (INSIDE LORENZO CY5) INFRONT OF SOLID SHIPPING","697-7588/ 925-9928","LOOK FOR ROLLY",,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"238",,"237","CONSUMERS CENTER","C/O (LUCKY CHOICE) MAIN OFFICE",,"0000-00-00",,,,,,,,,,,,,,,"MS.MARY JANE OLAYRES/CHERYL SAYCO",,,"FLORES, SHIELA MARIE  - 10 November 2022 02:40:41","LEO",,,,,,,,,,,,,"0000-00-00",,,"consumerscenter@yahoo.com",,"9178795516/ 052-824-2898",,,"YES","YES","LESS 15%","2 SETS W/ P.O","SBT TRUCKING","1729 P.HIDALGO LIM ST. MANILA","/524-8773/09276864667",,"ROSAM DAILY EXPRESS","1729 P.HIDALGO LIM ST. MANILA",,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
"239",,"238","Continental Glassware","Sto. Cristo, Divisoria",,"0000-00-00",,,,,,,,,,,,,,,,,,,"ISHWAR",,,"Net 60",,,,,,,,,,"0000-00-00",,,,,,,,,"YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"30"
"240",,"239","Coronative Store","640 Herbossa St. Pritil, Tondo,",,"0000-00-00",,"0928-252-5613",,,,,,,,,,,,,,,,,"LEO",,,"Net 30",,,,,,,,,,"0000-00-00",,,,,,,,,"YES","LESS 10%","2 SETS W/ P.O",,"640 HERBOSA ST. PRITIL, TONDO, MANILA",,,,,,,,,,,,,,,"5%",,,,,,,,,,,,,,,"5",,,"30"
